protein1 protein2 neighborhood fusion cooccurence coexpression experimental database textmining combined_score
9606.ENSP00000081029 9606.ENSP00000317376 0 0 0 406 937 900 83 996
9606.ENSP00000081029 9606.ENSP00000260102 0 0 0 518 943 900 173 997
9606.ENSP00000081029 9606.ENSP00000312311 0 0 0 389 943 900 173 996
9606.ENSP00000081029 9606.ENSP00000223324 0 0 0 381 943 900 173 996
9606.ENSP00000081029 9606.ENSP00000225969 0 0 0 342 943 900 0 995
9606.ENSP00000081029 9606.ENSP00000362036 0 0 0 328 954 900 204 997
9606.ENSP00000081029 9606.ENSP00000296102 0 0 0 145 920 900 335 994
9606.ENSP00000081029 9606.ENSP00000333401 0 0 0 533 943 900 276 997
9606.ENSP00000081029 9606.ENSP00000258383 0 0 0 354 943 900 0 996
9606.ENSP00000081029 9606.ENSP00000362208 0 0 0 298 978 900 522 999
9606.ENSP00000081029 9606.ENSP00000295491 0 0 0 201 943 900 0 995
9606.ENSP00000081029 9606.ENSP00000360850 0 0 0 347 994 900 0 999
9606.ENSP00000081029 9606.ENSP00000253099 0 0 0 312 943 900 0 995
9606.ENSP00000081029 9606.ENSP00000288937 0 0 0 495 949 900 0 997
9606.ENSP00000081029 9606.ENSP00000245539 0 0 0 261 982 900 50 998
9606.ENSP00000081029 9606.ENSP00000279242 0 0 0 260 943 900 50 995
9606.ENSP00000081029 9606.ENSP00000272418 0 0 0 540 993 900 173 999
9606.ENSP00000081029 9606.ENSP00000306548 0 0 0 559 943 900 132 997
9606.ENSP00000081029 9606.ENSP00000360498 0 0 0 512 920 900 525 997
9606.ENSP00000155840 9606.ENSP00000272298 0 0 0 0 947 0 233 957
9606.ENSP00000155840 9606.ENSP00000349467 0 0 0 0 918 0 426 951
9606.ENSP00000155840 9606.ENSP00000291295 0 0 0 0 947 0 378 965
9606.ENSP00000156084 9606.ENSP00000441543 0 0 0 61 919 0 153 930
9606.ENSP00000156084 9606.ENSP00000388107 0 0 0 0 909 0 0 909
9606.ENSP00000156471 9606.ENSP00000361918 0 0 0 72 971 900 291 997
9606.ENSP00000156471 9606.ENSP00000460348 0 0 0 278 966 900 300 998
9606.ENSP00000156471 9606.ENSP00000227524 0 0 0 192 985 900 539 999
9606.ENSP00000156471 9606.ENSP00000199814 0 0 0 100 983 900 297 998
9606.ENSP00000156471 9606.ENSP00000262415 0 0 0 102 924 900 611 997
9606.ENSP00000156471 9606.ENSP00000362803 0 0 0 61 943 900 211 995
9606.ENSP00000156471 9606.ENSP00000236273 0 0 0 51 961 900 506 997
9606.ENSP00000156471 9606.ENSP00000342374 0 0 0 73 943 900 311 995
9606.ENSP00000156471 9606.ENSP00000400591 0 0 0 69 953 900 50 995
9606.ENSP00000156471 9606.ENSP00000215829 0 0 0 71 943 900 350 996
9606.ENSP00000156471 9606.ENSP00000360532 0 0 0 366 958 900 573 998
9606.ENSP00000156471 9606.ENSP00000412566 0 0 0 128 938 900 50 994
9606.ENSP00000156471 9606.ENSP00000475615 0 0 0 93 922 900 260 994
9606.ENSP00000156471 9606.ENSP00000358554 0 0 0 62 957 900 558 998
9606.ENSP00000156471 9606.ENSP00000392094 0 0 0 846 958 900 526 999
9606.ENSP00000156471 9606.ENSP00000357928 0 0 0 87 958 900 658 998
9606.ENSP00000156471 9606.ENSP00000424417 0 0 0 224 975 900 589 999
9606.ENSP00000156471 9606.ENSP00000254193 0 0 0 93 960 900 302 997
9606.ENSP00000156471 9606.ENSP00000317123 0 0 0 371 944 900 420 997
9606.ENSP00000156471 9606.ENSP00000272348 0 0 0 81 959 900 0 995
9606.ENSP00000156471 9606.ENSP00000266735 0 0 0 88 936 900 87 994
9606.ENSP00000156471 9606.ENSP00000300413 0 0 0 61 943 900 318 995
9606.ENSP00000156471 9606.ENSP00000351137 0 0 0 377 992 900 735 999
9606.ENSP00000156471 9606.ENSP00000263694 0 0 0 159 935 900 0 994
9606.ENSP00000156471 9606.ENSP00000366557 0 0 0 193 985 900 711 999
9606.ENSP00000156471 9606.ENSP00000246071 0 0 0 75 912 900 0 991
9606.ENSP00000156471 9606.ENSP00000261531 0 0 0 164 947 900 499 997
9606.ENSP00000156471 9606.ENSP00000386023 0 0 0 81 943 900 216 995
9606.ENSP00000157812 9606.ENSP00000310572 0 0 73 990 994 900 118 999
9606.ENSP00000157812 9606.ENSP00000391211 0 0 76 990 992 900 140 999
9606.ENSP00000157812 9606.ENSP00000261712 0 0 0 892 994 900 882 999
9606.ENSP00000157812 9606.ENSP00000357879 0 0 0 876 994 900 869 999
9606.ENSP00000157812 9606.ENSP00000290541 0 0 0 857 993 900 568 999
9606.ENSP00000157812 9606.ENSP00000261479 59 0 222 681 992 900 455 999
9606.ENSP00000157812 9606.ENSP00000262193 59 0 0 886 993 900 641 999
9606.ENSP00000157812 9606.ENSP00000261601 0 0 0 862 990 900 767 999
9606.ENSP00000157812 9606.ENSP00000418695 0 0 0 883 971 900 862 999
9606.ENSP00000157812 9606.ENSP00000360532 0 0 0 116 980 0 99 982
9606.ENSP00000157812 9606.ENSP00000414359 59 0 0 851 992 900 678 999
9606.ENSP00000157812 9606.ENSP00000441543 0 0 0 97 956 900 249 996
9606.ENSP00000157812 9606.ENSP00000259457 59 0 0 705 992 900 585 999
9606.ENSP00000157812 9606.ENSP00000401802 0 0 77 989 994 900 116 999
9606.ENSP00000157812 9606.ENSP00000388107 0 0 0 63 960 900 76 996
9606.ENSP00000157812 9606.ENSP00000311121 59 0 225 679 960 900 226 999
9606.ENSP00000157812 9606.ENSP00000223321 0 0 0 874 992 900 430 999
9606.ENSP00000157812 9606.ENSP00000216455 59 0 201 798 994 900 429 999
9606.ENSP00000157812 9606.ENSP00000362334 59 0 0 868 994 900 628 999
9606.ENSP00000157812 9606.ENSP00000309474 0 0 0 741 993 900 835 999
9606.ENSP00000157812 9606.ENSP00000217958 0 0 0 116 994 900 860 999
9606.ENSP00000157812 9606.ENSP00000483688 59 0 0 848 992 900 566 999
9606.ENSP00000157812 9606.ENSP00000270586 0 0 0 736 989 900 627 999
9606.ENSP00000157812 9606.ENSP00000481029 0 0 78 985 994 900 123 999
9606.ENSP00000157812 9606.ENSP00000440485 0 0 0 80 904 900 772 997
9606.ENSP00000157812 9606.ENSP00000304697 0 0 0 97 956 900 355 997
9606.ENSP00000157812 9606.ENSP00000215071 0 0 0 880 994 900 917 999
9606.ENSP00000157812 9606.ENSP00000264639 0 0 0 943 992 900 869 999
9606.ENSP00000157812 9606.ENSP00000348442 0 0 0 912 994 900 872 999
9606.ENSP00000157812 9606.ENSP00000396937 0 0 0 838 970 900 829 999
9606.ENSP00000157812 9606.ENSP00000271308 59 0 0 892 992 900 709 999
9606.ENSP00000157812 9606.ENSP00000219313 0 0 0 871 994 900 868 999
9606.ENSP00000157812 9606.ENSP00000386541 0 0 0 753 994 900 869 999
9606.ENSP00000157812 9606.ENSP00000364016 59 0 0 668 963 900 497 999
9606.ENSP00000157812 9606.ENSP00000359910 59 0 233 750 991 900 454 999
9606.ENSP00000157812 9606.ENSP00000044462 59 0 0 871 992 900 333 999
9606.ENSP00000157812 9606.ENSP00000261303 0 0 64 990 994 900 97 999
9606.ENSP00000157812 9606.ENSP00000478877 0 0 0 871 961 900 881 999
9606.ENSP00000157812 9606.ENSP00000310129 0 0 0 850 994 900 820 999
9606.ENSP00000157812 9606.ENSP00000355325 59 0 0 695 994 900 607 999
9606.ENSP00000158771 9606.ENSP00000185150 0 0 0 88 909 900 653 996
9606.ENSP00000158771 9606.ENSP00000351777 0 0 0 64 937 900 877 999
9606.ENSP00000158771 9606.ENSP00000259512 0 0 0 63 937 900 184 994
9606.ENSP00000158771 9606.ENSP00000337053 0 0 0 62 909 900 882 998
9606.ENSP00000164133 9606.ENSP00000418447 0 0 0 62 953 900 602 998
9606.ENSP00000164133 9606.ENSP00000324804 0 0 0 87 953 900 583 997
9606.ENSP00000166345 9606.ENSP00000360532 0 0 0 65 980 0 189 983
9606.ENSP00000166345 9606.ENSP00000296509 0 0 0 891 998 0 354 999
9606.ENSP00000167586 9606.ENSP00000413479 0 0 0 86 955 900 183 996
9606.ENSP00000167586 9606.ENSP00000252242 0 0 0 742 991 900 240 999
9606.ENSP00000170564 9606.ENSP00000227524 0 0 0 55 945 0 43 946
9606.ENSP00000170564 9606.ENSP00000360532 0 0 0 148 980 0 355 988
9606.ENSP00000171111 9606.ENSP00000264414 0 0 0 61 972 900 948 999
9606.ENSP00000172229 9606.ENSP00000269321 0 0 0 0 943 900 595 997
9606.ENSP00000173229 9606.ENSP00000389140 0 0 0 55 912 900 873 998
9606.ENSP00000178640 9606.ENSP00000387246 0 0 0 61 977 900 329 998
9606.ENSP00000181839 9606.ENSP00000374529 0 0 0 103 971 900 838 999
9606.ENSP00000184266 9606.ENSP00000354687 0 0 0 157 942 900 170 995
9606.ENSP00000184266 9606.ENSP00000301457 0 0 0 403 950 900 756 999
9606.ENSP00000184266 9606.ENSP00000362060 0 0 0 511 979 900 374 999
9606.ENSP00000184266 9606.ENSP00000252711 0 0 0 106 908 900 902 999
9606.ENSP00000184266 9606.ENSP00000233627 0 0 0 311 909 900 435 996
9606.ENSP00000184266 9606.ENSP00000356972 0 0 0 168 957 900 516 998
9606.ENSP00000184266 9606.ENSP00000263774 0 0 0 285 995 900 556 999
9606.ENSP00000184266 9606.ENSP00000330737 0 0 0 879 990 900 445 999
9606.ENSP00000184266 9606.ENSP00000362873 0 0 0 372 955 900 472 998
9606.ENSP00000184266 9606.ENSP00000354961 0 0 0 125 942 900 208 995
9606.ENSP00000184266 9606.ENSP00000418438 0 0 0 340 950 900 379 997
9606.ENSP00000184266 9606.ENSP00000355046 0 0 0 82 942 900 72 994
9606.ENSP00000184266 9606.ENSP00000369176 0 0 0 772 950 900 440 999
9606.ENSP00000184266 9606.ENSP00000392709 0 0 0 179 942 900 441 997
9606.ENSP00000184266 9606.ENSP00000354728 0 0 0 0 944 540 70 974
9606.ENSP00000184266 9606.ENSP00000327268 0 0 0 373 972 900 380 998
9606.ENSP00000184266 9606.ENSP00000276689 0 0 0 486 942 900 657 998
9606.ENSP00000184266 9606.ENSP00000354813 0 0 0 153 942 900 84 994
9606.ENSP00000184266 9606.ENSP00000441126 0 0 0 888 934 900 365 999
9606.ENSP00000184266 9606.ENSP00000296684 0 0 0 615 992 900 463 999
9606.ENSP00000184266 9606.ENSP00000266544 0 0 0 369 974 900 483 999
9606.ENSP00000184266 9606.ENSP00000419087 0 0 0 350 944 900 846 999
9606.ENSP00000184266 9606.ENSP00000330787 0 0 0 865 948 900 427 999
9606.ENSP00000184266 9606.ENSP00000299166 0 0 0 576 908 900 528 997
9606.ENSP00000184266 9606.ENSP00000276062 0 0 0 172 921 900 367 995
9606.ENSP00000184266 9606.ENSP00000252102 0 0 0 513 942 900 643 998
9606.ENSP00000184266 9606.ENSP00000259037 0 0 0 372 944 900 416 997
9606.ENSP00000184266 9606.ENSP00000418842 0 0 0 700 998 900 683 999
9606.ENSP00000184266 9606.ENSP00000281031 0 0 0 496 941 900 498 998
9606.ENSP00000184266 9606.ENSP00000274137 0 0 0 442 969 900 480 999
9606.ENSP00000184266 9606.ENSP00000458770 0 0 0 418 960 900 486 998
9606.ENSP00000184266 9606.ENSP00000354665 0 0 0 61 942 900 133 994
9606.ENSP00000184266 9606.ENSP00000355206 0 0 0 61 942 900 73 994
9606.ENSP00000184266 9606.ENSP00000322450 0 0 0 240 994 900 453 999
9606.ENSP00000184266 9606.ENSP00000306397 0 0 0 430 903 0 330 960
9606.ENSP00000184266 9606.ENSP00000389160 0 0 0 447 912 900 557 997
9606.ENSP00000184266 9606.ENSP00000237889 0 0 0 841 944 900 437 999
9606.ENSP00000184266 9606.ENSP00000367939 0 0 0 660 908 0 314 976
